Leader Name	Nation Name	Alliance	Score
Jaxsr	JaxsNation	None	69.90
Hoooe	Brenden	None	136.15
Cundo	Boii Empire	None	346.37
Hans Savoine	Terranova	None	103.25
Simon Adder	Sarcastea	None	89.61
Marcus Herrera	OOFGUSBUSMARCUSHERRERA	None	167.24
Austin Fries	Zeagerblic	None	2.75
SrPinochet	Darks wolfs	None	64.45
orange war	orange juice	None	100.75
Mattias Ellsonian	New Ellsonia	None	53.00
Kralev Kroger	Bulgarian Representatives	None	58.77
Fayaz	Yogyakarta	None	90.27
Joaquin Abenojar	Valhalla Entente	The Immortals	1,910.00
Dobrimir	Welegard	None	14.49
Zoolang	Stalinand	None	88.85
Shivaji Bhonsle	Kingdom India	None	156.11
Redest	Great Algerian State	None	50.50
Friese	Adrestrian Empire	None	153.41
Julian III	Carrain	None	90.97
Arutha	Principality of Krondor	None	127.10
Mehedi the warrior	Shariatpur	None	100.75
Trumpz	123usa	None	67.06
Phantom	Phantum	None	135.74
Aaron Enamorado	Korslavia	None	564.55
Voodoo	Queencean	None	73.50
Paulus	Warmia	None	91.64
Francis VII	Narynia	None	56.93
Juns	Zchar	None	157.60
Michelle Robin Wave	M-Beep Empire	None	76.40
omeu	arst	None	144.74
commandoviper	new phone who dis	None	787.02
Reg	Qua Peico	United Alliance for Freedom	70.25
Archia	Narqia	Weebunism	934.05
Kent1708	Austria Habsburg	None	60.19
Palin	Alaskan Empire	None	50.50
Erich Von Manstein	Greater German Imerium	None	57.79
Anthony83	Trumpsylvania	None	53.03
Abe	Prettyjordi	None	50.50
Jafo the Great	Incorporated Kingdom	One is the loneliest number	651.16
Bay Tosho	Belene	None	50.14
Rashid Alhoti	Kingdom of Greatness	None	186.17
Casper hagbart	Londonia	None	58.50
Mark Maximus	Kingdom Of Bailey	None	59.34
Nikolai Sokolov	Manacia	None	50.50
Alexej Brasnak	Czecho-Slovakian Union	None	156.95
Scout	Bread	None	67.05
Ryanmasterplays	ShaeBlana	None	71.97
Clixxyz	clax	The Immortals	1,948.34
Romanus	Romanus	None	332.76
Nick Fury	Aegis	None	191.15
Pope Urban	The Kingdom of God	None	350.00
Spud	The Irish Empire	None	208.57
Nightmare3711	Callandranthall	None	530.23
Drew	The Republic of Drewland	None	50.50
Face Smasher	Gorbletravia	None	58.25
Sheniqua	Defenastrationland	None	191.52
Brick	Merg	None	142.23
Dong	USPS	None	101.16
Thatcher	merciland	None	58.73
precident	Oldhathia	None	56.58
Jouvinel Crazon	Republic of Atlantea	League of Democratic Nations	694.81
crudndu	Ashland 3	None	68.65
F Karma	The Great Republic	Central Imperial Union	2,277.50
Josuke	Za Warudo	None	85.50
Kongo Jack	Soviet Congo	Church Of Atom	1,655.25
Ministure	Republic of Baton Rouge	None	160.85
Seved	Drietsland	None	56.39
Leto	Greater Altaris	None	560.05
Harry Peterson	New York Zealand	None	50.50
George JSV	Nogulog	None	361.63
Sloop	Zinter	None	264.58
Adam Price	Cymraeg	None	53.00
The Workers Council	Katusia	None	230.30
Tomas Hebridge	Anostas	None	53.00
Vauldis Lavey	Satanic-Anglo Sate of Abesra	None	91.02
Persia	Pakpersia	None	61.45
Yaogun	The Ghonate Republic	None	137.71
Melly Mel	Orangeburg	None	55.50
Physia	Astrasia	None	295.97
Markus Alanis	Alaria	None	53.00
Gabe	Storm Nation	None	340.70
Tergor	Arneria	Fallen Angels	64.75
Thornton Quasar	Quasarland	None	86.01
Last king	Wolfs den	None	145.28
Penelope	Piggerfly Nation	None	56.00
Bileios Dilis	Bilsadileia	None	71.53
Andric	Kenfrid	None	61.20
Mikeal green	Verde	None	78.25
Page	Nossal	None	383.76
Frantz Wolfker	Pequena Republica Germanica	None	50.00
Shashank Shekhar	Uttar Pradesh	None	100.75
Waqas Ahmed Nomani	Wahdakistan	None	83.50
George Ameri	United States Of Scandinavia	None	103.25
Rui	Cockland	None	50.50
Brock Bizzell	Mishima	None	104.91
Gonzalo 3	Goteralandia	None	126.90
Nikolai Rabuno	Venezuela del Oeste	None	261.47
Marito	Paraguay	None	56.87
Ian Smith	Free Republic of Rhodesia	None	85.77
Ricardo	Euge	None	227.07
Belgrano	Tucuman	None	139.09
Amoako	Spartus	None	489.11
Mincapo12	Minland	None	77.13
Scumbag Jones	Fortress of Greencrest	None	151.95
depredador	tijuana	None	50.50
Vortek	Bastarnalia	None	68.25
Vladmir stalin	Kurwatic Republic Of poland	None	63.29
Johe	australian	None	66.25
JD Van Gomme	Geldburg	None	53.00
mathias	mempi	The Immortals	409.62
Danny	Nouvelle Ecosse	None	55.50
Chief Wallace	Nasacare	None	317.34
George VII	The Kingdom of Anglea	None	66.50
Great&GeniusKingTPZ	Multiverse United Warlands	None	260.44
Mr_Andy	Long Island Empire	The Lost Empire	859.70
Lanky	UpTheRedsLand	None	273.39
Benjamin Roth	Divine Kingdom Of Israel	None	150.01
Keanu Beans	Bean	None	264.57
Shuhrat	Doviet	None	366.32
Saile	Saileriket	None	135.97
Brando	ZA WARLDO	None	107.11
Luku	panini	None	202.12
Aldon Linothel	Threndemere	The Lost Empire	1,403.82
Admiral Defosse	Eagleton	None	388.45
Victoria Adler	Isenreik	None	294.48
Ismael Benavente	Reino de Aragon	None	167.15
Nicole Doria	The Republic of Ljubljana	None	136.03
Diana Vaginous	Deetz	None	64.48
Caleb	Land of Delt	None	146.97
Franz Josep	Austria-Hungary Empire	None	0.25
Max Jonn	West Carolina	None	120.93
Japan	United Republic of Japan	The Blind Eye	2,301.50
David2	Jewdea	None	50.50
Billy Potato	Stoompland	None	695.14
Barber	Zendikar	None	55.50
Pingu	Elistite	None	140.54
Tacticus	Minoan Empire	Ragnarok	1,660.30
Yka	Sorsa	None	62.28
Declan	Decistan	None	13.25
Guan	The Motherland	None	18.35
Isaacius	Afrolandia	None	278.16
Steve lakes	Lava mint	League of Democratic Nations	462.50
Arturo	Artronia	None	100.75
Durwood	Russia	The Blind Eye	336.25
Pedro I	Paganu	None	305.81
Sir Naaririel	Daamuend	None	92.30
Thomas_The_Great	Ireland	None	55.75
Kangas	das Grobdeutsche Reich	None	51.06
Sverre Glivarnhove	Grimsley Landen	None	50.50
Onecito	Pandora	None	58.71
Manray	Lazer Lepubric	The Federation	536.83
CRISTIAN	THE C	None	100.23
Venis	Ylliriare	None	100.75
Ogaden	REDACTED	None	432.62
Joshua Schneider I	Basteen	None	199.24
Alan	United States of Gilead	Spartans	64.00
Vitor Thomaz	Grandorah	None	265.26
Herrera	German Kingdom	None	50.50
Linda Gordon	Appalachan Socialist State	None	73.37
Alonso Velarde	Continued States Of America	None	64.65
Azbenkar Pameakyz	Kyknab	None	150.49
Nicholas Voorhees	Mannequin	None	1,088.75
Marlowe the Great	Marlovia	None	117.10
Friederick	Lividia	None	246.63
Mofles	Gundavia	None	68.50
Alister Poole	Dalriada	None	135.90
seta	lindia	None	50.50
Kng	Marrya	None	171.56
Macca	Zer Welsh Empire	None	202.50
BossSauce	Daivnton	None	520.08
August Czarniecki	Republic of Krakow	None	83.66
Ashley	Philadelphia	None	65.25
kian	garakari	None	165.30
Tiberius Caesar Augu	Trojan Empire	None	228.07
Battacos	NewPapiLand	The Immortals	1,499.75
Rem Wolfe	Pyria	None	1,260.48
King CoronaTime	COVID-19	LaSalle boyz	65.25
Noah	Ling Ping	None	109.42
Cringe	Nazione	LaSalle boyz	165.02
Blas	Malaka	None	110.59
Flavius Belisarius	European Federation	The Immortals	1,298.96
Andre	Talamh Geallta	None	55.50
Jonathan	China	None	50.50
Kenzie0813	Amavi	None	298.33
Joe	SentrySafe	House Stark	2,338.00
Cactimeese	Cactimeese	The Co-Prosperity Union	66.41
BillyBobJoe	people	None	63.50
Papi	GEICO	None	58.81
f-gary-f	United Borneo	None	99.45
Pony McPrincess	Republic of Theed	The Immortals	1,594.00
Benny	East London	Rose	1,698.27
MoreGames PL	Korean Empire	None	109.41
Gurbanguly	County Eire	Empyrea	2,537.42
Jake Wetzler	New Soviet	Umbrella Corporation	754.29
HeroofTime55	New XGA	Church Of Atom	1,076.24
The Dalai Lama	New Tibet	None	65.25
Sarrad	Communist Union Of Turan	None	121.10
Jeremy hunt	Bullcrapia	None	50.50
Nikola krocic	nova zemlja	None	50.50
Georges Van Jones	Ostford	None	77.00
thoir	wruath	None	58.50
Sujan Den aldris	Tujanistan	None	50.50
Arindil	Third Aldmeri Republic	None	50.50
Fitkck	New Zcuk	None	219.34
Galliot	Franc	None	138.77
Leonardo Muszka II	La Nueva Malvina	None	258.79
Fortem Custodi	Cumberland Kingdom	None	71.83
Chancellor Markham	Great Tarbonia	None	50.50
Shiodiodia	Afanean	None	319.22
Dmitri Shostakovich	Esthonia	None	2.96
Marco	Esspain	None	53.00
Stalin	Soviet Russia 223	None	196.97
Diego	TheThornyPlace	None	102.25
Abdul Karim	Ahwaz	None	344.08
Colton	Takarnia	None	50.50
Elivacio Carneiro	Kingdom of Campesia	None	239.16
Raithed	Republic of Italy	The Red Banner	743.53
Rick Celti	Rontoia	None	50.50
Chris Thompson	Confedracy of The Americas	None	50.50
Adel II	Kingdom of Adel	None	31.23
Mapitoba	Domuja	None	148.79
The Kind Blue Fox	United Furries	The Socialist League	68.00
Harry Balls	Re Tarde	None	269.35
Lee Bollinger	Columbia University	None	133.29
Maximilian Voronoff	Rovnotzka	None	29.75
Nemertaleb	Tiger	None	150.88
Wladyslaw Anders	Wielka Polska Korona	None	84.50
ArrowEzio	DolnaLipowa	None	56.00
Pazaaz	Hussafar	None	56.84
Matt	Dogland	None	13.47
Zeno Chuang	Geniocracy of Andromeda	None	56.50
Tyler Heutz	Texan Kingdom	None	199.63
Lenin	Motherland	None	193.72
danyu	south unsm	None	51.00
Augustain	Vestaris	None	217.41
Ivankov Lhendi	Kanawha	The Fighting Pacifists	1,975.75
Nitin Vashisht	EverWinter	None	736.01
Karl Degurechaff	Vorando	The Red Banner	471.46
King Georg	Swansland	None	105.90
Guchang	Pulauan Empire	None	75.50
Isakov	Russian Socialist Empire	None	398.57
oisin bailey	lejisland	None	67.11
Haris	Melana	The Lost Empire	1,430.00
Hit	Germanis	None	59.46
Dukenburg	Matrojestan	None	53.00
Momo	Greater Asian Federation	One is the loneliest number	68.50
Keanu Reeves	New California Republic NCR	None	50.50
Paul-Pot	NATIONAL-COMMUNIST ROMANIA	None	71.45
ThOor	Asgardian	None	151.42
I am a leader	Peux plier	None	550.68
Floofgirl	Girls rule	None	58.84
Darth Tellectus	Sith Empire	None	56.47
Gabriel barrus	Great independent creek	None	75.99
twomoo1119	Kordofan	Si Hong	780.10
Catalina IV	Meso	None	50.75
joe joe	muricas	None	417.23
Gabriel Diaz	Broiland	League of Democratic Nations	58.82
Stalin e	Socialist Republic of Italy	The Socialist League	50.39
Wane	Shmekland	None	346.58
Ada	Alagasia	None	273.28
salmon	starwars	None	85.68
Wowa	Nestap	Si Hong	581.97
James Eto	McMartin	None	66.61
Junior04	Republic of Texas	None	63.82
Friedman	Eleftherialand	None	319.34
John Wolf	Wolf Empire	None	456.01
Volrene	Amethyas	None	298.15
from the future	ooohu please delete	None	683.07
Hendrick	Zartania	None	388.05
Peaceman	Fond du lac	None	55.53
Kickbackdeath	Hanime	None	81.18
Titon	Gotham	None	67.04
Abel Hephaestus	Masdaf	None	327.43
Heinz Reichenstein	Communist Germanic Empire	None	153.41
yeezy	yetopia	None	64.35
Sergey Khramov	New Russian Federation	The Lost Empire	1,501.09
Ethan Caho	Cahoon	None	50.50
Irumborai	Tamilnadu	None	214.01
Reznovia Makova	Nozdovia	None	162.86
Zilbert Ghu	GULAG LAND	The Immortals	839.55
Narendra D Modi	Hindustan	None	254.25
Tomm	Muralla	None	70.50
Antonion	Mala	None	216.78
Edward King	Goddess	None	238.87
mateteo06	Porritolandia	None	154.49
Mymy Schoppenboer	nederland_2	None	50.50
john 7	liber coast	None	381.20
Asshole	YouTubers	Weebunism	181.53
Gil-Galad	Middle earth1	Atlantis	311.26
Bob	Bobland	None	50.32
Abelardus Eleuthrius	Holy Kingdom Of Prodeo	None	100.96
Harald V	The Northern Realm	None	131.91
Kanre	Phlue	None	64.50
Jin Takemoto	Geneseo	None	72.75
Forester Goldpaw	Holy Confederate Empire	The United States of America	220.09
Watzkupf Reichnauer	Trochzell	None	55.75
Masril	Stonistrian	None	268.12
Kosmar	The Insurgency	The Red Banner	353.17
Aleqi	Akkhanore	The Immortals	1,082.61
Ghregio Stefan Hoba	Amraesdi	None	400.00
BigMike	YMW Smelly	None	100.75
Phaedra Silverstep	Azradon	The Commonwealth	1,853.00
Rick Kinkermans	Kinker Valley	None	68.25
Byron Castle	Traansvalia	None	70.50
N Chomsky	Chomskystan	United Socialist Nations	1,382.38
Kaekias	Phoenicia Socialist Republic	None	319.91
Vladimir Raznow	Gabraria	None	50.50
Praxis Faloon	Pax Terrae	None	59.77
Briandabandit	Bandits	None	216.25
Finmacean	Guayva	None	53.00
Owen	Communist Union Of Arizona	None	5.50
Aaron the Great	Apotheotion	None	218.14
Michael Nondo	The Empire of New America	None	156.31
Hyperia	The Rebellion	None	71.95
Burdadk The Mighty	New Mortua	None	148.62
Tupac	Roku	None	299.63
Anatoli Ivanov	Soviet Republic of Leningrad	None	438.69
Zander	Montgomery	None	66.71
Boriaku boliday	Gabralian union	None	103.25
Villaineye	Palestina	None	130.93
Sofia	Fiazo	None	61.51
Yamanaka Nagumo	Nippon Koku	None	50.53
The anointed one	Peoples utopia of washington	None	122.50
Robert Mora	The Holy Mora Empire	None	579.04
Mason Henry	New Order Nation	None	111.20
Dalton von Ashley ll	Republic Of Memes	None	193.13
Rohanii	NacionIrani	None	205.95
Zirkhev	Bezdomnaya Koshka	None	68.08
Eva the Great	Evaland	None	149.63
CJay	Jayden	None	387.96
Owe Alexander	Bahula	None	197.66
Larry McLarrison	Larristan	None	62.00
Floris van Ommen	Nederland	None	155.44
Josip Broz Tito	SFR-Yugoslavia	None	50.50
LemonBoi	mother frut	None	56.00
YYZ	Los Mexica	None	50.50
Jurgen Hoffmann	The Reich	None	186.41
Calvanious	Calvanius	None	57.50
Inferno	Soviet Serbia	None	166.15
Rumpus Estabon	Rumpus	None	56.80
AL HYDA	THE UNDERWORLD	Fallen Angels	50.50
Sangyeun	EnKori Sanghae	None	379.70
Nicolas Cristo	Colombia	None	86.92
Cdd	Usoa	None	138.83
Devin Berry	wardham	None	77.33
Arnold Buswic	Frunwicz	None	80.04
Victoria Normandy	Raelnine	None	205.39
Yasuo	Shurima	None	58.49
Arima Kousei	Kousei	None	386.16
AAAAALLLLL	Rainbow Unicorn	None	111.63
Christopher Hetfield	The Kingdom of Dalaran	None	63.50
Shib von Schliefen	DogeLand	None	81.79
CJ christodoulidis	Hellas	None	50.50
Hilter	Azania	None	102.99
Kim Jong Coon	Jahadistan	None	100.75
revelion	revelion untion	None	153.97
Jackass	Beauromes	None	100.18
Pickle	Destroy	None	103.25
King Wasthithen	Stethan	None	50.50
Stephan	Replia	None	55.50
Aerophim	Archaecia	None	403.31
Platonov	New Northlandia	None	55.75
Todaloo	Todaloo	None	428.64
Charles Augustus	Avanessia	None	78.63
Carnigater	Goleniviata	None	79.45
GORDAO	PAVAO PAVAOZINHO CANTAGALO	None	50.50
steb	Mercy	None	296.94
Gregg	Albeos	None	482.23
Ralph Ross III	GOAT farm	None	100.75
RJ III	The Dream Kingdom	None	59.26
Dasghadody	SUPRAMsug	None	50.00
Kalissa	Amazonia	None	188.84
Ghali	Valei	None	74.50
Kieran Citri	Free America	The Immortals	2,205.00
Bryce	Fulgaria	None	50.50
Rafo	Apsurdistan	None	75.12
Imperium of Mankind	Neo Crusaders	None	104.92
Alaa Ababneh	Otto states	None	56.23
Joe Anderson	Cosmic empire	Ragnarok	1,829.51
Dinosicus	Rashyet	None	89.42
Leo The Great	Leotopia	None	176.40
Bjp	Dykezlandia	None	239.49
Just Zamm	ZAMJUS	None	50.50
Rice	Lorax	None	64.76
Katarzyna Nawajka	Balkavia SSR	None	84.03
LKY	Leopard	None	314.44
Titian	Thunder Empire	The Commonwealth	1,995.00
Andrew I	Aselia	None	407.06
Adam_farhan	Mandaistan	None	50.50
pope	dem republic the holy land	None	339.80
Jax Zenon	Maenniskor	None	50.50
Bernardo Guerra	Fortaleza FaBeCa	None	64.50
New Greater London	Faroes	Kingsglaive	50.28
DrNeo	Akutaski	None	161.26
Fenris Reyjavik	Kalpian Empire	None	58.78
Juan Carlos Roa	Guajira	The Global Union	189.61
Alexi	New Monaco	The Immortals	2,193.00
Strik	Merica3	Si Hong	610.00
Dennis McMillan	Republic Of Candon	None	109.12
Yeetyyeet	The Nation of YEET	None	50.13
Liam McMars	New Erie Socialists Kingdom	The Red Banner	575.65
Isaiah	Italy	None	359.00
Gyeongjehag	Grikley	None	2.75
Nigeria	Republic of Nigeria	None	63.35
Chairman Bao	The cult of Zadra	None	71.60
Floyd	Messianic Kingdom	None	153.22
Nadeem	Singapore	Dragonstone	444.02
RAJ	World State	None	14.91
Connor Whelan	Ireland is green	None	76.75
Ramses	Repuplic Of Egypt	Atlantic Collective	68.07
Noam Ch	The State of Israel	None	68.70
Joseph Tyler Brown	The Republic of South Hindia	None	50.50
Deutsche Reich	Czech Empire	None	60.61
Lker	Terragrande	None	73.76
Davidz	Clanz	None	66.99
Nyamote	Pravia	None	100.93
xristos papatzim	great greece	None	53.00
Roshon Hohonson	MInecraft	None	55.75
Bashir	Communist State of America	Abdul Fakkadi Super Alliance	200.57
Windolene	Ibriz	The Federation	173.09
Yuteson	Esoteric Ancaps	Demacia	572.85
New Zionist Republic	New Zionist Reoublic	None	92.60
Rimbaud	Dublin	Atlantis	281.88
7610197100101	7897116105111110	None	795.66
Volovek	Tiger Empire	None	50.50
Dennis van den Broek	Kingdom of the Netherlands	None	377.61
Kegan	Kadison	None	249.78
T-King	Geyzul	None	53.00
Jojna	Zipang	None	50.50
Ravanast	The British Empire	None	100.75
Shilo	Shikolstia	None	120.22
Kovvop	Strixtopia	None	50.50
Hank Makrle	Fairway	None	100.75
Ivan Moskvin	Koslovia	None	153.93
Frori	Garpos	None	130.50
Fred	Halogeuo	None	215.54
Jones I	2nd Mongol Empire	Ragnarok	1,770.00
Tumbino	Laniyochi	None	179.18
Stalin3	USSRthe2nd	None	50.50
Matthew Kuroghlian	Gold Coast	None	76.79
Braden Gonzalez	The Texan Empire	None	75.50
Skjor	Akaviri Republic	None	75.66
Jiranda	Udur Khanate	None	138.21
Ali Amjad	Mortal pakistan	None	102.37
nassar77	arabs states	None	512.04
Meat boy	Foodie	CC Bank	1,049.68
Stalin 2	The New USSR	None	58.30
Daniel Conlon	Rosc	None	296.63
Trotsky	Blue Soviet Union	None	50.50
Vladimir 2	Federal Republics	None	50.27
Peter VI	Empire of Antarctica	Solo players	467.55
Waron	Bozkurt Federation	None	158.46
XXXTENTACION	Lilpump	None	53.00
Okram	Skaro	None	0.03
Vlomonov Franzezoko	Gondolia	None	70.30
Seth	Lorhaven	None	68.25
Nutrition Faction	Pentise	None	50.50
Fabius	Hiali	None	113.96
Juan Domingo Peron	Peronist Argentina	None	58.50
Juanjo	Chispajuan	None	50.50
Slobodan Milosevic	Vcze	None	70.59
Jose Antonio Paez	LosLlanos	None	591.59
Phacreza	Sochniet	None	99.99
Wilhelm IV	Prussia	None	53.03
Boris	Holy Land of Hardbass	None	68.50
Suki	United Korea	North Point	1,972.60
Moro	Sarnicola	None	65.50
Max	Korea	None	73.82
Goofrey	Hundeland	None	126.52
Lorenzo Durante	Argentinaa	None	51.11
Abidemi Moniade	Nantoraka	None	276.18
Surume	Inkopolitia	None	82.41
Sevrasi XI Kilar	Kingdom of Aratacia	None	68.50
Andrew Talbert	Clover Republic	None	83.45
Lee Kian Yang	Heirnixe	None	84.26
Wyatt	Blishea	None	58.00
Simo De Gaulle	New Sealand	Federation of Commerce States	1,496.63
Procopius Aquilinus	VVeS	None	119.97
William Rust	Hondo	None	183.61
Ralphis	Department of Peace	None	50.50
Drishaan	Lowtal	None	50.50
Jade	Eridani Federation	None	5.50
PoulChecksen	United Peace	None	53.00
Dylan Jacob	Molossia	None	58.74
DN4z1T4n	Kekenistan	None	141.45
Epictetus	Liantherosemus	None	92.76
Lukas Banik	The Danubian Federation	None	58.25
Literal Spider	Spider Slave Pits	None	291.69
Lu bu	Yhuso	None	364.40
Joe Ripley	Tournee	None	53.00
Dani	The Puggian Empire	None	50.50
Kullervo Manner	USSF	None	178.88
Amaki nar Suurewie	Roulons	None	324.88
Mike Foster	Greater Alluvial Republic	None	58.50
Frank Underwood	Washington DC	None	84.25
2726	Pendejo	None	50.53
Alana Valar	Algonia	Atlantis	159.09
pablenin	sacro imperio comunista	None	50.50
Ejhiph Mukhova	Caesis	None	89.50
Xtian	Nexxen	None	50.50
Paladin-Director	Grand Freedonian Union	None	485.86
Carline	Choctawcity	NATO	73.24
Oscar	Original	None	53.00
Coke	CokeKing	None	96.33
Baseer Pirzada	Bakistan	Shark Tank	668.97
Brownc12	Interlake	None	53.00
Mike Chaos	Chaosatopia	None	152.04
Hans	Tyskland	None	152.63
Fredo Splash	Taranogic	None	163.41
Sri	Gaprsris	NATO	115.28
Chabyvmm	Venequia	None	60.05
mamawebo	HighLand	None	129.76
Siera	Windarf	None	132.99
cmb	Country	None	73.75
Jyuri Haarirr	Yemoura	None	151.16
Christed	Reichist	None	289.45
Sherman515	Costo Rico	None	220.94
Iosif Kvaforth	Kierkgaard	None	472.00
Ho Chi Minh	Asian-Empire	The Red Banner	331.80
Delices	Bawi	None	57.41
Gadd	Gaddistan	None	53.00
Farquaad Fartquad	Eeeeeeeeeeeeeee	None	213.97
Pengus Mcpenguin	Penguinland	Schrute Farms	527.09
Moratan Orestes	Orestia	None	55.50
Zach Savorsko	SonoKaria	None	58.30
Pelle	Leranditale	Acadia	98.61
Zulqarnain smw	Pakistani	None	106.51
Maci	Palgo	None	210.91
Albert17	Fat Albert	LaSalle boyz	70.63
Audric Grimm	The Prussian Republic	None	255.58
Samibo	Kingdom of Gobao	None	58.00
Traun	Imperial Remnant	None	261.88
Patricia	Rossenland	None	56.25
Sierraa	Aiir	None	123.80
GabrielVader759	Coruscant	None	55.50
Maiara	Sprussom	Spartan Brotherhood	1,928.75
Carlson	Helmmannheim	None	50.50
Maikan	Maikanistan	None	71.99
ninel	olimpo	None	65.50
The Egg	The Branch of Eggs	None	259.73
VibrantGuitar	VibrantGuitar	None	65.50
Bibi	Shema Israel	None	83.60
MnrZ	dust clouds	None	50.50
LoidtupoOne	3chan	None	143.41
Danotia	Fipublic of Greenland	None	56.57
Tristan	Neovelt	None	320.70
Asakura	Yamato-Musashi	None	123.08
Bri	Britonia	None	50.50
Edelsted	Veritos	None	119.94
Ttayw	Wyattlandia	None	154.71
PewDiePie	Melon	None	64.64
Zisis Filippou	Socialist Republic of Greece	The Socialist League	79.99
Malachi Vegas	Flaming Phoenix	The Imperium	909.15
Guaraguao I	Paraguachoa	None	543.92
Echo I	Grand Echoed Empire	None	200.11
Macdui	Albascotia	None	58.00
Aoife	Old Russia	None	220.30
Albieyazka	Indoonesia	None	55.50
Hammad	Hammad Republic	None	50.50
Vincent Harling	Osea	None	221.12
Laban	New union America	The Socialist League	74.00
